"""","高  等学校数(校)","教員数(本務者)(人)","教員数(本務者)_男(人)","教員数(本務者)_女(人)","  職員数 (本務者)(人)","生徒数総  数(人)","生徒数_男(人)","生徒数_女(人)","生徒数_本 科１学年_男(人)"
"昭和60年(1985年)","51.0","2631.0","2121.0","510.0","…","46542.0","23414.0","23128.0","8101.0"
"平成 2年(1990年)","53.0","2778.0","2149.0","629.0","557.0","48665.0","24677.0","23988.0","8304.0"
"平成 7年(1995年)","54.0","2723.0","2026.0","697.0","561.0","40599.0","20671.0","19928.0","6922.0"
"平成12年(2000年)","54.0","2688.0","1947.0","741.0","575.0","38033.0","19505.0","18528.0","6674.0"
"","","","","","","","","",""
"平成15年(2003年)","54.0","2637.0","1874.0","763.0","554.0","35706.0","18406.0","17300.0","6239.0"
"平成16年(2004年)","54.0","2612.0","1848.0","764.0","557.0","34877.0","17938.0","16939.0","5965.0"
"平成17年(2005年)","54.0","2552.0","1799.0","753.0","548.0","33373.0","17108.0","16265.0","5679.0"
"","","","","","","","","",""
"平成18年(2006年)","54.0","2514.0","1763.0","751.0","543.0","32285.0","16403.0","15882.0","5573.0"
"平成19年(2007年)","55.0","2462.0","1711.0","751.0","541.0","31103.0","15934.0","15169.0","5524.0"
"平成20年(2008年)","56.0","2421.0","1662.0","759.0","526.0","30674.0","15793.0","14881.0","5522.0"
"平成21年(2009年)","54.0","2347.0","1604.0","743.0","526.0","29877.0","15448.0","14429.0","5123.0"
"平成22年(2010年)","50.0","2321.0","1578.0","743.0","513.0","29889.0","15408.0","14481.0","5347.0"
"","","","","","","","","",""
"平成23年(2011年)","50.0","2329.0","1567.0","762.0","512.0","29343.0","14970.0","14373.0","5053.0"
"平成24年(2012年)","51.0","2325.0","1543.0","782.0","508.0","29203.0","14814.0","14389.0","5087.0"
"平成25年(2013年)","51.0","2301.0","1520.0","781.0","509.0","28579.0","14397.0","14182.0","4927.0"
"平成26年(2014年)","50.0","2269.0","1485.0","784.0","512.0","28523.0","14388.0","14135.0","4988.0"
"","","","","","","","","",""
"   和歌山市","15.0","924.0","633.0","291.0","153.0","12591.0","6303.0","6288.0","2187.0"
"   海 南 市","3.0","100.0","55.0","45.0","22.0","1022.0","414.0","608.0","142.0"
"   橋 本 市","4.0","154.0","97.0","57.0","34.0","1948.0","1171.0","777.0","382.0"
"   有 田 市","1.0","53.0","33.0","20.0","15.0","718.0","400.0","318.0","142.0"
"   御 坊 市","2.0","115.0","66.0","49.0","32.0","1365.0","686.0","679.0","228.0"
"   田 辺 市","5.0","216.0","149.0","67.0","66.0","2700.0","1459.0","1241.0","516.0"
"   新 宮 市","3.0","120.0","81.0","39.0","31.0","1565.0","801.0","764.0","281.0"
"   紀の川市","2.0","103.0","69.0","34.0","25.0","1432.0","726.0","706.0","276.0"
"   岩 出 市","1.0","59.0","30.0","29.0","14.0","996.0","466.0","530.0","146.0"
"","","","","","","","","",""
"   紀美野町","1.0","10.0","7.0","3.0","1.0","36.0","24.0","12.0","8.0"
"","","","","","","","","",""
"   かつらぎ町","3.0","100.0","60.0","40.0","34.0","941.0","437.0","504.0","149.0"
"   九度山町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"   高 野 町","1.0","17.0","15.0","2.0","12.0","153.0","140.0","13.0","59.0"
"","","","","","","","","",""
"   湯 浅 町","1.0","58.0","40.0","18.0","11.0","733.0","363.0","370.0","111.0"
"   広 川 町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"   有田川町","2.0","60.0","39.0","21.0","11.0","453.0","233.0","220.0","83.0"
"","","","","","","","","",""
"   美 浜 町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"   日 高 町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"   由 良 町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"   印 南 町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"   みなべ町","1.0","58.0","36.0","22.0","20.0","631.0","218.0","413.0","82.0"
"   日高川町","2.0","11.0","8.0","3.0","4.0","83.0","69.0","14.0","30.0"
"","","","","","","","","",""
"   白 浜 町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"   上富田町","1.0","65.0","37.0","28.0","13.0","709.0","262.0","447.0","99.0"
"   すさみ町","1.0","4.0","3.0","1.0","1.0","4.0","3.0","1.0","0.0"
"","","","","","","","","",""
"   那智勝浦町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"   太 地 町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"   古座川町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"   北 山 村","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"   串 本 町","1.0","42.0","27.0","15.0","13.0","443.0","213.0","230.0","67.0"
